#Serial	Status
952	WP_144477536.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007676905.1
953	WP_228453184.1 Failed :  No record for accession WP_228453184.1
954	WP_253785812.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024171645.1
955	WP_286230591.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030316255.1
956	WP_275276081.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029088225.1
957	WP_134162591.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004368015.1
958	WP_274806090.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028883575.1
959	WP_025624303.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_905331815.1
960	WP_263269254.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025643095.1
961	WP_050536697.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001220845.1
962	WP_161675184.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009906085.1
963	WP_058404839.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001468485.1
964	WP_137482020.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005385565.1
965	WP_014598312.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000270125.2
966	WP_076916388.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000497915.1
967	WP_080660167.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000464515.2
968	WP_172791581.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013260315.1
969	WP_212809881.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018326065.1
970	WP_046273121.1 Failed :  No record for accession WP_046273121.1
971	WP_091195486.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900115065.1
972	WP_133338951.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004358055.1
973	WP_253844849.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002763745.1
974	WP_280748852.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029893105.1
975	WP_009859883.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019125625.1
976	WP_265724496.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026191475.2
977	WP_133711401.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004364575.1
978	WP_080334781.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007833655.1
979	WP_050441711.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000584015.1
980	WP_147611002.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902363055.1
981	WP_040351215.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000156675.1
982	WP_020618621.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000378385.1
983	WP_218415129.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019249715.1
984	WP_249297056.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014384985.1
985	WP_118691465.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003481445.1
986	WP_022216223.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009875795.1
987	WP_243104772.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003482105.1
988	WP_215690635.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018785195.1
989	WP_283684259.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_951230155.1
990	WP_074521525.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900103815.1
991	WP_140126628.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026538085.1
992	WP_141566784.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000237885.1
993	WP_264542804.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025947085.1
994	WP_147086737.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007997205.1
995	WP_051941672.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000744105.1
996	WP_080732614.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000769475.1
997	WP_098392560.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002562345.1
998	WP_211014130.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018101025.1
999	WP_194473271.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015291565.1
1000	WP_223962511.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_914492725.1
1001	WP_188999640.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014646895.1
1002	WP_239050881.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022344005.1
1003	WP_287449208.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017635315.1
1004	WP_080325732.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900141865.1
1005	WP_033170237.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000702005.1
1006	WP_026765244.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000424065.1
1007	WP_097006416.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900205965.1
1008	WP_072816088.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022134735.1
1009	WP_156666188.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001651055.1
1010	WP_247740778.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017700735.1
1011	WP_145012411.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007681555.1
1012	WP_165952880.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004348455.1
1013	WP_003395791.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000353425.1
